exc_prob,value
0.000683995,1350
0.001367989,1170
0.002051984,1140
0.002735978,1060
0.003419973,1000
0.004103967,963
0.004787962,928
0.005471956,900
0.006155951,889
0.006839945,876
0.00752394,835
0.008207934,800
0.008891929,794
0.009575923,792
0.010259918,790
0.010943912,782
0.011627907,779
0.012311902,753
0.012995896,744
0.013679891,724
0.014363885,723
0.01504788,715
0.015731874,707
0.016415869,702
0.017099863,642
0.017783858,624
0.018467852,622
0.019151847,612
0.019835841,601
0.020519836,600
0.02120383,595
0.021887825,579
0.022571819,570
0.023255814,561
0.023939808,558
0.024623803,552
0.025307798,540
0.025991792,532
0.026675787,530
0.027359781,530
0.028043776,524
0.02872777,516
0.029411765,516
0.030095759,515
0.030779754,511
0.031463748,508
0.032147743,504
0.032831737,501
0.033515732,498
0.034199726,496
0.034883721,488
0.035567715,482
0.03625171,478
0.036935705,474
0.037619699,460
0.038303694,452
0.038987688,450
0.039671683,447
0.040355677,429
0.041039672,428
0.041723666,422
0.042407661,419
0.043091655,410
0.04377565,409
0.044459644,408
0.045143639,401
0.045827633,400
0.046511628,397
0.047195622,397
0.047879617,393
0.048563611,389
0.049247606,387
0.049931601,380
0.050615595,378
0.05129959,370
0.051983584,369
0.052667579,369
0.053351573,361
0.054035568,353
0.054719562,351
0.055403557,351
0.056087551,350
0.056771546,348
0.05745554,346
0.058139535,344
0.058823529,343
0.059507524,341
0.060191518,339
0.060875513,338
0.061559508,336
0.062243502,336
0.062927497,331
0.063611491,331
0.064295486,331
0.06497948,325
0.065663475,322
0.066347469,318
0.067031464,318
0.067715458,311
0.068399453,311
0.069083447,311
0.069767442,310
0.070451436,310
0.071135431,309
0.071819425,309
0.07250342,308
0.073187415,308
0.073871409,308
0.074555404,300
0.075239398,299
0.075923393,297
0.076607387,297
0.077291382,295
0.077975376,294
0.078659371,288
0.079343365,286
0.08002736,284
0.080711354,284
0.081395349,276
0.082079343,276
0.082763338,274
0.083447332,274
0.084131327,272
0.084815321,268
0.085499316,266
0.086183311,266
0.086867305,263
0.0875513,263
0.088235294,261
0.088919289,261
0.089603283,259
0.090287278,257
0.090971272,257
0.091655267,257
0.092339261,257
0.093023256,255
0.09370725,255
0.094391245,254
0.095075239,254
0.095759234,254
0.096443228,254
0.097127223,254
0.097811218,252
0.098495212,251
0.099179207,250
0.099863201,249
0.100547196,247
0.10123119,246
0.101915185,244
0.102599179,241
0.103283174,241
0.103967168,240
0.104651163,238
0.105335157,237
0.106019152,236
0.106703146,235
0.107387141,235
0.108071135,235
0.10875513,228
0.109439124,227
0.110123119,227
0.110807114,227
0.111491108,225
0.112175103,225
0.112859097,224
0.113543092,222
0.114227086,218
0.114911081,218
0.115595075,218
0.11627907,216
0.116963064,216
0.117647059,213
0.118331053,212
0.119015048,211
0.119699042,211
0.120383037,211
0.121067031,210
0.121751026,208
0.122435021,208
0.123119015,208
0.12380301,207
0.124487004,206
0.125170999,206
0.125854993,205
0.126538988,205
0.127222982,204
0.127906977,204
0.128590971,202
0.129274966,202
0.12995896,202
0.130642955,200
0.131326949,200
0.132010944,200
0.132694938,200
0.133378933,200
0.134062927,199
0.134746922,198
0.135430917,197
0.136114911,196
0.136798906,194
0.1374829,194
0.138166895,194
0.138850889,193
0.139534884,193
0.140218878,192
0.140902873,192
0.141586867,192
0.142270862,192
0.142954856,191
0.143638851,191
0.144322845,189
0.14500684,189
0.145690834,187
0.146374829,187
0.147058824,187
0.147742818,187
0.148426813,186
0.149110807,186
0.149794802,186
0.150478796,185
0.151162791,184
0.151846785,184
0.15253078,183
0.153214774,183
0.153898769,182
0.154582763,182
0.155266758,181
0.155950752,181
0.156634747,180
0.157318741,180
0.158002736,178
0.158686731,178
0.159370725,176
0.16005472,176
0.160738714,176
0.161422709,175
0.162106703,174
0.162790698,173
0.163474692,173
0.164158687,171
0.164842681,171
0.165526676,171
0.16621067,171
0.166894665,171
0.167578659,169
0.168262654,167
0.168946648,167
0.169630643,166
0.170314637,166
0.170998632,165
0.171682627,165
0.172366621,163
0.173050616,163
0.17373461,161
0.174418605,161
0.175102599,161
0.175786594,161
0.176470588,161
0.177154583,161
0.177838577,160
0.178522572,160
0.179206566,160
0.179890561,160
0.180574555,160
0.18125855,160
0.181942544,160
0.182626539,158
0.183310534,158
0.183994528,156
0.184678523,156
0.185362517,156
0.186046512,156
0.186730506,156
0.187414501,156
0.188098495,155
0.18878249,155
0.189466484,155
0.190150479,155
0.190834473,155
0.191518468,154
0.192202462,154
0.192886457,153
0.193570451,152
0.194254446,152
0.19493844,152
0.195622435,151
0.19630643,151
0.196990424,151
0.197674419,150
0.198358413,150
0.199042408,150
0.199726402,150
0.200410397,148
0.201094391,148
0.201778386,148
0.20246238,146
0.203146375,146
0.203830369,145
0.204514364,145
0.205198358,145
0.205882353,145
0.206566347,143
0.207250342,143
0.207934337,141
0.208618331,141
0.209302326,141
0.20998632,141
0.210670315,140
0.211354309,140
0.212038304,140
0.212722298,139
0.213406293,139
0.214090287,138
0.214774282,138
0.215458276,137
0.216142271,137
0.216826265,137
0.21751026,135
0.218194254,135
0.218878249,135
0.219562244,135
0.220246238,133
0.220930233,132
0.221614227,132
0.222298222,132
0.222982216,130
0.223666211,130
0.224350205,130
0.2250342,130
0.225718194,130
0.226402189,128
0.227086183,128
0.227770178,128
0.228454172,128
0.229138167,127
0.229822161,126
0.230506156,126
0.23119015,124
0.231874145,124
0.23255814,124
0.233242134,124
0.233926129,122
0.234610123,122
0.235294118,121
0.235978112,121
0.236662107,121
0.237346101,121
0.238030096,121
0.23871409,121
0.239398085,121
0.240082079,121
0.240766074,121
0.241450068,119
0.242134063,119
0.242818057,118
0.243502052,118
0.244186047,117
0.244870041,116
0.245554036,116
0.24623803,116
0.246922025,116
0.247606019,114
0.248290014,114
0.248974008,114
0.249658003,114
0.250341997,114
0.251025992,112
0.251709986,112
0.252393981,112
0.253077975,111
0.25376197,111
0.254445964,111
0.255129959,111
0.255813953,111
0.256497948,111
0.257181943,110
0.257865937,110
0.258549932,109
0.259233926,109
0.259917921,109
0.260601915,109
0.26128591,108
0.261969904,108
0.262653899,107
0.263337893,107
0.264021888,107
0.264705882,107
0.265389877,106
0.266073871,106
0.266757866,106
0.26744186,106
0.268125855,106
0.26880985,104
0.269493844,104
0.270177839,104
0.270861833,104
0.271545828,102
0.272229822,102
0.272913817,101
0.273597811,101
0.274281806,101
0.2749658,101
0.275649795,101
0.276333789,100
0.277017784,100
0.277701778,100
0.278385773,100
0.279069767,100
0.279753762,98
0.280437756,98
0.281121751,98
0.281805746,97
0.28248974,97
0.283173735,97
0.283857729,97
0.284541724,97
0.285225718,97
0.285909713,97
0.286593707,97
0.287277702,97
0.287961696,97
0.288645691,97
0.289329685,96
0.29001368,96
0.290697674,96
0.291381669,96
0.292065663,96
0.292749658,95
0.293433653,95
0.294117647,95
0.294801642,93
0.295485636,93
0.296169631,93
0.296853625,93
0.29753762,93
0.298221614,93
0.298905609,92
0.299589603,92
0.300273598,92
0.300957592,92
0.301641587,92
0.302325581,92
0.303009576,91
0.30369357,91
0.304377565,91
0.30506156,90
0.305745554,90
0.306429549,90
0.307113543,90
0.307797538,90
0.308481532,90
0.309165527,90
0.309849521,90
0.310533516,90
0.31121751,89
0.311901505,89
0.312585499,89
0.313269494,89
0.313953488,89
0.314637483,88
0.315321477,88
0.316005472,88
0.316689466,88
0.317373461,88
0.318057456,88
0.31874145,88
0.319425445,87
0.320109439,87
0.320793434,87
0.321477428,87
0.322161423,87
0.322845417,87
0.323529412,86
0.324213406,86
0.324897401,86
0.325581395,86
0.32626539,86
0.326949384,86
0.327633379,86
0.328317373,84
0.329001368,84
0.329685363,84
0.330369357,84
0.331053352,84
0.331737346,84
0.332421341,84
0.333105335,84
0.33378933,83
0.334473324,83
0.335157319,83
0.335841313,83
0.336525308,83
0.337209302,83
0.337893297,83
0.338577291,83
0.339261286,83
0.33994528,83
0.340629275,83
0.341313269,83
0.341997264,83
0.342681259,83
0.343365253,83
0.344049248,83
0.344733242,83
0.345417237,82
0.346101231,82
0.346785226,82
0.34746922,82
0.348153215,82
0.348837209,82
0.349521204,82
0.350205198,82
0.350889193,82
0.351573187,81
0.352257182,81
0.352941176,81
0.353625171,81
0.354309166,81
0.35499316,81
0.355677155,81
0.356361149,81
0.357045144,80
0.357729138,80
0.358413133,80
0.359097127,80
0.359781122,80
0.360465116,80
0.361149111,80
0.361833105,79
0.3625171,79
0.363201094,79
0.363885089,79
0.364569083,79
0.365253078,79
0.365937073,79
0.366621067,79
0.367305062,79
0.367989056,79
0.368673051,79
0.369357045,78
0.37004104,78
0.370725034,78
0.371409029,77
0.372093023,77
0.372777018,77
0.373461012,77
0.374145007,77
0.374829001,77
0.375512996,77
0.37619699,77
0.376880985,77
0.377564979,77
0.378248974,75
0.378932969,75
0.379616963,75
0.380300958,75
0.380984952,75
0.381668947,75
0.382352941,75
0.383036936,75
0.38372093,75
0.384404925,74
0.385088919,74
0.385772914,74
0.386456908,74
0.387140903,74
0.387824897,74
0.388508892,73
0.389192886,73
0.389876881,73
0.390560876,73
0.39124487,73
0.391928865,73
0.392612859,73
0.393296854,73
0.393980848,72
0.394664843,72
0.395348837,72
0.396032832,72
0.396716826,72
0.397400821,72
0.398084815,72
0.39876881,72
0.399452804,72
0.400136799,72
0.400820793,71
0.401504788,71
0.402188782,71
0.402872777,71
0.403556772,71
0.404240766,70
0.404924761,70
0.405608755,70
0.40629275,70
0.406976744,70
0.407660739,70
0.408344733,70
0.409028728,70
0.409712722,69
0.410396717,69
0.411080711,69
0.411764706,68
0.4124487,68
0.413132695,68
0.413816689,68
0.414500684,68
0.415184679,68
0.415868673,66
0.416552668,66
0.417236662,66
0.417920657,66
0.418604651,66
0.419288646,66
0.41997264,66
0.420656635,66
0.421340629,66
0.422024624,66
0.422708618,66
0.423392613,66
0.424076607,66
0.424760602,65
0.425444596,65
0.426128591,65
0.426812585,65
0.42749658,65
0.428180575,65
0.428864569,65
0.429548564,65
0.430232558,65
0.430916553,64
0.431600547,64
0.432284542,64
0.432968536,64
0.433652531,64
0.434336525,64
0.43502052,64
0.435704514,64
0.436388509,63
0.437072503,63
0.437756498,63
0.438440492,63
0.439124487,63
0.439808482,63
0.440492476,63
0.441176471,63
0.441860465,63
0.44254446,63
0.443228454,62
0.443912449,62
0.444596443,61
0.445280438,61
0.445964432,61
0.446648427,61
0.447332421,61
0.448016416,60
0.44870041,60
0.449384405,60
0.450068399,60
0.450752394,60
0.451436389,60
0.452120383,60
0.452804378,60
0.453488372,60
0.454172367,60
0.454856361,60
0.455540356,60
0.45622435,60
0.456908345,59
0.457592339,59
0.458276334,59
0.458960328,58
0.459644323,58
0.460328317,58
0.461012312,58
0.461696306,58
0.462380301,58
0.463064295,58
0.46374829,58
0.464432285,58
0.465116279,58
0.465800274,58
0.466484268,58
0.467168263,57
0.467852257,57
0.468536252,57
0.469220246,57
0.469904241,57
0.470588235,57
0.47127223,57
0.471956224,57
0.472640219,57
0.473324213,57
0.474008208,57
0.474692202,56
0.475376197,56
0.476060192,56
0.476744186,56
0.477428181,56
0.478112175,55
0.47879617,55
0.479480164,55
0.480164159,55
0.480848153,55
0.481532148,55
0.482216142,55
0.482900137,55
0.483584131,55
0.484268126,55
0.48495212,55
0.485636115,55
0.486320109,55
0.487004104,55
0.487688098,54
0.488372093,54
0.489056088,54
0.489740082,53
0.490424077,53
0.491108071,53
0.491792066,52
0.49247606,52
0.493160055,52
0.493844049,52
0.494528044,52
0.495212038,52
0.495896033,52
0.496580027,51
0.497264022,51
0.497948016,51
0.498632011,51
0.499316005,51
0.5,51
0.500683995,51
0.501367989,50
0.502051984,50
0.502735978,50
0.503419973,50
0.504103967,50
0.504787962,50
0.505471956,50
0.506155951,50
0.506839945,50
0.50752394,50
0.508207934,50
0.508891929,50
0.509575923,50
0.510259918,49
0.510943912,49
0.511627907,49
0.512311902,49
0.512995896,49
0.513679891,49
0.514363885,49
0.51504788,49
0.515731874,49
0.516415869,49
0.517099863,49
0.517783858,49
0.518467852,49
0.519151847,49
0.519835841,49
0.520519836,48
0.52120383,48
0.521887825,48
0.522571819,48
0.523255814,48
0.523939808,48
0.524623803,48
0.525307798,47
0.525991792,47
0.526675787,47
0.527359781,47
0.528043776,47
0.52872777,47
0.529411765,47
0.530095759,47
0.530779754,47
0.531463748,47
0.532147743,47
0.532831737,47
0.533515732,47
0.534199726,47
0.534883721,47
0.535567715,47
0.53625171,47
0.536935705,47
0.537619699,47
0.538303694,47
0.538987688,47
0.539671683,47
0.540355677,47
0.541039672,46
0.541723666,46
0.542407661,46
0.543091655,46
0.54377565,46
0.544459644,46
0.545143639,46
0.545827633,46
0.546511628,46
0.547195622,45
0.547879617,45
0.548563611,45
0.549247606,45
0.549931601,45
0.550615595,45
0.55129959,45
0.551983584,45
0.552667579,45
0.553351573,45
0.554035568,45
0.554719562,45
0.555403557,45
0.556087551,45
0.556771546,44
0.55745554,44
0.558139535,44
0.558823529,44
0.559507524,44
0.560191518,44
0.560875513,44
0.561559508,44
0.562243502,44
0.562927497,44
0.563611491,44
0.564295486,44
0.56497948,44
0.565663475,43
0.566347469,43
0.567031464,43
0.567715458,43
0.568399453,43
0.569083447,43
0.569767442,43
0.570451436,43
0.571135431,43
0.571819425,43
0.57250342,42
0.573187415,42
0.573871409,42
0.574555404,42
0.575239398,42
0.575923393,42
0.576607387,42
0.577291382,42
0.577975376,42
0.578659371,42
0.579343365,42
0.58002736,42
0.580711354,42
0.581395349,42
0.582079343,42
0.582763338,40
0.583447332,40
0.584131327,40
0.584815321,40
0.585499316,40
0.586183311,40
0.586867305,40
0.5875513,40
0.588235294,40
0.588919289,40
0.589603283,40
0.590287278,40
0.590971272,40
0.591655267,40
0.592339261,39
0.593023256,39
0.59370725,39
0.594391245,39
0.595075239,39
0.595759234,39
0.596443228,39
0.597127223,39
0.597811218,39
0.598495212,39
0.599179207,39
0.599863201,39
0.600547196,39
0.60123119,39
0.601915185,39
0.602599179,39
0.603283174,39
0.603967168,39
0.604651163,39
0.605335157,39
0.606019152,39
0.606703146,39
0.607387141,39
0.608071135,39
0.60875513,39
0.609439124,39
0.610123119,38
0.610807114,38
0.611491108,38
0.612175103,38
0.612859097,38
0.613543092,38
0.614227086,38
0.614911081,38
0.615595075,38
0.61627907,38
0.616963064,37
0.617647059,37
0.618331053,37
0.619015048,37
0.619699042,37
0.620383037,37
0.621067031,37
0.621751026,37
0.622435021,37
0.623119015,37
0.62380301,37
0.624487004,37
0.625170999,37
0.625854993,37
0.626538988,37
0.627222982,36
0.627906977,36
0.628590971,36
0.629274966,36
0.62995896,36
0.630642955,36
0.631326949,36
0.632010944,36
0.632694938,36
0.633378933,36
0.634062927,36
0.634746922,36
0.635430917,36
0.636114911,36
0.636798906,36
0.6374829,36
0.638166895,35
0.638850889,35
0.639534884,35
0.640218878,35
0.640902873,35
0.641586867,35
0.642270862,35
0.642954856,35
0.643638851,35
0.644322845,35
0.64500684,35
0.645690834,35
0.646374829,35
0.647058824,35
0.647742818,35
0.648426813,35
0.649110807,35
0.649794802,35
0.650478796,34
0.651162791,34
0.651846785,34
0.65253078,34
0.653214774,34
0.653898769,34
0.654582763,34
0.655266758,34
0.655950752,34
0.656634747,34
0.657318741,34
0.658002736,34
0.658686731,33
0.659370725,33
0.66005472,33
0.660738714,33
0.661422709,33
0.662106703,33
0.662790698,33
0.663474692,33
0.664158687,33
0.664842681,33
0.665526676,33
0.66621067,33
0.666894665,33
0.667578659,33
0.668262654,32
0.668946648,32
0.669630643,32
0.670314637,32
0.670998632,32
0.671682627,32
0.672366621,32
0.673050616,32
0.67373461,32
0.674418605,32
0.675102599,32
0.675786594,32
0.676470588,32
0.677154583,32
0.677838577,32
0.678522572,32
0.679206566,31
0.679890561,31
0.680574555,31
0.68125855,31
0.681942544,31
0.682626539,31
0.683310534,31
0.683994528,31
0.684678523,30
0.685362517,30
0.686046512,30
0.686730506,30
0.687414501,30
0.688098495,30
0.68878249,30
0.689466484,30
0.690150479,29
0.690834473,29
0.691518468,29
0.692202462,29
0.692886457,29
0.693570451,29
0.694254446,29
0.69493844,29
0.695622435,29
0.69630643,29
0.696990424,29
0.697674419,29
0.698358413,29
0.699042408,29
0.699726402,29
0.700410397,29
0.701094391,29
0.701778386,29
0.70246238,29
0.703146375,29
0.703830369,29
0.704514364,28
0.705198358,28
0.705882353,28
0.706566347,28
0.707250342,28
0.707934337,28
0.708618331,28
0.709302326,28
0.70998632,28
0.710670315,28
0.711354309,28
0.712038304,28
0.712722298,28
0.713406293,27
0.714090287,27
0.714774282,27
0.715458276,27
0.716142271,27
0.716826265,27
0.71751026,26
0.718194254,26
0.718878249,26
0.719562244,26
0.720246238,26
0.720930233,26
0.721614227,26
0.722298222,26
0.722982216,26
0.723666211,26
0.724350205,26
0.7250342,25
0.725718194,25
0.726402189,25
0.727086183,25
0.727770178,25
0.728454172,25
0.729138167,25
0.729822161,25
0.730506156,25
0.73119015,24
0.731874145,24
0.73255814,24
0.733242134,24
0.733926129,24
0.734610123,24
0.735294118,24
0.735978112,24
0.736662107,24
0.737346101,23
0.738030096,23
0.73871409,23
0.739398085,23
0.740082079,23
0.740766074,23
0.741450068,23
0.742134063,23
0.742818057,22
0.743502052,22
0.744186047,22
0.744870041,22
0.745554036,22
0.74623803,22
0.746922025,22
0.747606019,22
0.748290014,21
0.748974008,21
0.749658003,21
0.750341997,21
0.751025992,21
0.751709986,21
0.752393981,21
0.753077975,21
0.75376197,21
0.754445964,20
0.755129959,20
0.755813953,20
0.756497948,20
0.757181943,20
0.757865937,20
0.758549932,20
0.759233926,20
0.759917921,20
0.760601915,20
0.76128591,20
0.761969904,20
0.762653899,20
0.763337893,20
0.764021888,20
0.764705882,20
0.765389877,20
0.766073871,20
0.766757866,20
0.76744186,20
0.768125855,20
0.76880985,20
0.769493844,19
0.770177839,19
0.770861833,19
0.771545828,19
0.772229822,19
0.772913817,19
0.773597811,19
0.774281806,19
0.7749658,18
0.775649795,18
0.776333789,18
0.777017784,18
0.777701778,18
0.778385773,18
0.779069767,18
0.779753762,18
0.780437756,17
0.781121751,17
0.781805746,17
0.78248974,17
0.783173735,17
0.783857729,17
0.784541724,17
0.785225718,17
0.785909713,17
0.786593707,17
0.787277702,17
0.787961696,17
0.788645691,17
0.789329685,17
0.79001368,17
0.790697674,17
0.791381669,17
0.792065663,17
0.792749658,17
0.793433653,17
0.794117647,17
0.794801642,17
0.795485636,17
0.796169631,16
0.796853625,16
0.79753762,16
0.798221614,16
0.798905609,16
0.799589603,16
0.800273598,16
0.800957592,16
0.801641587,16
0.802325581,16
0.803009576,16
0.80369357,16
0.804377565,16
0.80506156,16
0.805745554,16
0.806429549,16
0.807113543,16
0.807797538,16
0.808481532,16
0.809165527,16
0.809849521,16
0.810533516,15
0.81121751,15
0.811901505,15
0.812585499,15
0.813269494,15
0.813953488,15
0.814637483,15
0.815321477,15
0.816005472,15
0.816689466,15
0.817373461,15
0.818057456,15
0.81874145,14
0.819425445,14
0.820109439,14
0.820793434,14
0.821477428,14
0.822161423,14
0.822845417,14
0.823529412,14
0.824213406,14
0.824897401,14
0.825581395,14
0.82626539,14
0.826949384,14
0.827633379,14
0.828317373,14
0.829001368,14
0.829685363,14
0.830369357,14
0.831053352,14
0.831737346,13
0.832421341,13
0.833105335,13
0.83378933,13
0.834473324,13
0.835157319,13
0.835841313,13
0.836525308,13
0.837209302,13
0.837893297,13
0.838577291,13
0.839261286,13
0.83994528,13
0.840629275,13
0.841313269,13
0.841997264,13
0.842681259,13
0.843365253,13
0.844049248,13
0.844733242,13
0.845417237,13
0.846101231,13
0.846785226,13
0.84746922,13
0.848153215,13
0.848837209,13
0.849521204,13
0.850205198,13
0.850889193,13
0.851573187,13
0.852257182,13
0.852941176,13
0.853625171,13
0.854309166,12
0.85499316,12
0.855677155,12
0.856361149,12
0.857045144,12
0.857729138,12
0.858413133,12
0.859097127,12
0.859781122,12
0.860465116,12
0.861149111,12
0.861833105,12
0.8625171,12
0.863201094,12
0.863885089,12
0.864569083,12
0.865253078,12
0.865937073,12
0.866621067,12
0.867305062,12
0.867989056,12
0.868673051,12
0.869357045,12
0.87004104,12
0.870725034,12
0.871409029,12
0.872093023,12
0.872777018,12
0.873461012,12
0.874145007,12
0.874829001,12
0.875512996,12
0.87619699,12
0.876880985,12
0.877564979,12
0.878248974,12
0.878932969,12
0.879616963,12
0.880300958,12
0.880984952,11
0.881668947,11
0.882352941,11
0.883036936,11
0.88372093,11
0.884404925,11
0.885088919,11
0.885772914,11
0.886456908,11
0.887140903,11
0.887824897,11
0.888508892,11
0.889192886,11
0.889876881,9.8
0.890560876,9.8
0.89124487,9.8
0.891928865,9.8
0.892612859,9.8
0.893296854,9.8
0.893980848,9.8
0.894664843,9.8
0.895348837,9.8
0.896032832,9.8
0.896716826,9.8
0.897400821,9.8
0.898084815,9.8
0.89876881,9.8
0.899452804,9.8
0.900136799,9.8
0.900820793,9.8
0.901504788,9.3
0.902188782,9.3
0.902872777,9.3
0.903556772,9.3
0.904240766,9.3
0.904924761,9.3
0.905608755,9.3
0.90629275,9.3
0.906976744,9.3
0.907660739,9.3
0.908344733,9.3
0.909028728,9.3
0.909712722,9.3
0.910396717,9.3
0.911080711,9.3
0.911764706,9.3
0.9124487,9.3
0.913132695,8.5
0.913816689,8.5
0.914500684,8.5
0.915184679,8.5
0.915868673,8.5
0.916552668,8.5
0.917236662,8.5
0.917920657,8.5
0.918604651,8.5
0.919288646,8.5
0.91997264,8.5
0.920656635,8.5
0.921340629,8.5
0.922024624,8.5
0.922708618,8.5
0.923392613,8.5
0.924076607,8.5
0.924760602,8.5
0.925444596,8.5
0.926128591,8.5
0.926812585,8.5
0.92749658,8.5
0.928180575,8.5
0.928864569,8.5
0.929548564,8.5
0.930232558,8.5
0.930916553,7.2
0.931600547,7.2
0.932284542,7.2
0.932968536,7.2
0.933652531,7.2
0.934336525,7.2
0.93502052,7.2
0.935704514,7.2
0.936388509,7.2
0.937072503,7.2
0.937756498,7.2
0.938440492,7.2
0.939124487,7.2
0.939808482,7.2
0.940492476,7.2
0.941176471,7.2
0.941860465,7.2
0.94254446,7.2
0.943228454,7.2
0.943912449,7.2
0.944596443,7.2
0.945280438,7.2
0.945964432,7.2
0.946648427,7.2
0.947332421,7.2
0.948016416,7.2
0.94870041,6.2
0.949384405,6.2
0.950068399,6.2
0.950752394,6.2
0.951436389,6.2
0.952120383,6.2
0.952804378,6.2
0.953488372,6.2
0.954172367,6.2
0.954856361,6.2
0.955540356,5.9
0.95622435,5.9
0.956908345,5.9
0.957592339,5.8
0.958276334,5.6
0.958960328,5.6
0.959644323,5.6
0.960328317,5.6
0.961012312,5.5
0.961696306,5.4
0.962380301,5.3
0.963064295,5.3
0.96374829,5.3
0.964432285,5.3
0.965116279,5.2
0.965800274,5.2
0.966484268,5.1
0.967168263,5.1
0.967852257,5
0.968536252,5
0.969220246,5
0.969904241,5
0.970588235,4.9
0.97127223,4.9
0.971956224,4.9
0.972640219,4.9
0.973324213,4.8
0.974008208,4.8
0.974692202,4.8
0.975376197,4.7
0.976060192,4.7
0.976744186,4.7
0.977428181,4.5
0.978112175,4.4
0.97879617,4.4
0.979480164,4.4
0.980164159,4.3
0.980848153,4.1
0.981532148,4.1
0.982216142,4
0.982900137,4
0.983584131,4
0.984268126,3.8
0.98495212,3.7
0.985636115,3.7
0.986320109,3.7
0.987004104,3.7
0.987688098,3.7
0.988372093,3.7
0.989056088,3.7
0.989740082,3.4
0.990424077,3.4
0.991108071,3.4
0.991792066,3.4
0.99247606,3.3
0.993160055,3.2
0.993844049,3.1
0.994528044,3.1
0.995212038,2.8
0.995896033,2.8
0.996580027,2.7
0.997264022,2.7
0.997948016,2.6
0.998632011,2.5
0.999316005,2.3
